description;web_url;s3_object_path;exists_in_s3;exists_metadata_json;file_extension
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=291;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/97/8b/Actividad4_L1R2_Mod.2.pdf;True;True;pdf
...;https://movil.colombiaaprende.edu.co/aprende-en-casa/basica-primaria/educacion-en-la-ruralidad-escuela-nueva-ciencias-naturales-0#main-content;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_aprende-en-casa_basica-primaria_educacion-en-la-ruralidad-escuela-nueva-ciencias-naturales-0.txt;True;True;txt
...;https://movil.colombiaaprende.edu.co/media/20/download;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_media_20_download.txt;True;True;txt
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1BR.5.2.18.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=378;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/4f/d2/video4.txt;True;False;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=289;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/76/d7/Transcripcion_Modulo2_L2_R1.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=378;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/a1/81/guia_de_aprendizaje_1-1.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=357;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/73/08/MODELOS Y SIMULACIONES COMPUTACIONALES EN LA ENSEÑANZA DE LA FISICA.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=181;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/9a/b6/MEN_PTA_C3_LABORATORIO.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=328;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/6c/34/gente_toxica.pdf;True;True;pdf
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1PV.1.1.3.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=191;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/92/31/MEN_PTA_C8_ANEXO17_CURADURIA.pdf;True;True;pdf
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1BR.4.4.30.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=378;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/33/70/video2.txt;True;False;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=295;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/a4/86/GranHotel_Part4_Mod1_L2R2.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=329;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/b7/95/Di´a 4.pdf;True;True;pdf
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1ALF.2.1.3.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=17;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/aa/9f/M3S13_R3.pdf;True;True;pdf
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1PV.4.1.1.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=185;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/ef/22/MEN_PTA_C5_RAZONAMIENTO.pdf;True;True;pdf
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1BR.5.5.37.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=17;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/b0/0f/M4S24_R2.pdf;True;True;pdf
...;https://movil.colombiaaprende.edu.co/contenidos/historias-para-armar#main-content;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_contenidos_historias-para-armar.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=17;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/9b/c0/M4S35_R2.pdf;True;True;pdf
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1BR.4.3.23.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=189;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/b8/6d/MEN_PTA_C7_INF02.pdf;True;True;pdf
...;https://movil.colombiaaprende.edu.co/aprende-en-casa/media/ruta-de-emprendimiento-naranja#main-content;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_aprende-en-casa_media_ruta-de-emprendimiento-naranja.txt;True;True;txt
...;https://movil.colombiaaprende.edu.co/node/23#main-content;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_node_23.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=17;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/a6/51/CPE_M2S7_PDF1.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=284;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/eb/fd/Perfil tutora Viviana Mazón.pdf;True;True;pdf
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1BR.1.5.10.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=17;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/f6/09/CPE_MOOC_PDF7.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=361;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/c9/0d/Inclusión y equidad en la educacion.pdf;True;True;pdf
...;https://movil.colombiaaprende.edu.co/aprende-en-casa/caja-de-herramientas-tic/conectados-con-el-aprendizaje-modulo-1-instructure-canvas#main-content;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_aprende-en-casa_caja-de-herramientas-tic_conectados-con-el-aprendizaje-modulo-1-instructure-canvas.txt;True;True;txt
...;https://movil.colombiaaprende.edu.co/media/113/download;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_media_113_download.txt;True;True;txt
...;https://especiales.colombiaaprende.edu.co/emociones-conexion-vital/linea1_ruta2_mod5.html;s3://men-prod-clean-data/contenidos_formativos/EMOCIONES_CONEXION_VITAL/Establecimientos%20Educativos/Conexi%C3%B3n%20Emociones/M%C3%B3dulo%205/audio/linea1_ruta2_modulo5_POD.txt;False;False;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=380;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/ea/27/1PRESE~1.DOC.pdf;True;True;pdf
...;https://movil.colombiaaprende.edu.co/media/112/download;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_media_112_download.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=293;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/56/c4/tema_3_Mod1_L1R1.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=191;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/c4/46/MEN_PTA_C8_ANEXO12_ACTIVIDAD.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=277;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/f7/18/Protocolo taller profundización sincrónico Ciclo II.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=255;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/d0/a7/MEN_ESC_C2_M3_VS02_INFOGRAFIA_compressed.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=373;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/6e/e5/04. Recuerde.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=163;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/d4/4a/GuiaDelParticipante_Conv3_Encuentro1.pdf;True;True;pdf
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1BR.3.3.11.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=253;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/63/07/MEN_ESC_C3_M3_AN01_Ver3_low.txt;True;False;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=17;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/6f/3a/M2S7_R3.pdf;True;True;pdf
...;https://movil.colombiaaprende.edu.co/contenidos/material/digimente-docentes#main-content;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_contenidos_material_digimente-docentes.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=378;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/52/04/1.Ruta_articulacion_MEF-2.pdf;True;True;pdf
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1ALF.4.1.22.txt;True;True;txt
...;https://movil.colombiaaprende.edu.co/media/39/download;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_media_39_download.txt;True;True;txt
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1PV.2.2.3.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=255;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/ec/4f/MEN_ESC_C2_M1_INF01_v4.pdf;True;True;pdf
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1PV.4.1.3.txt;True;True;txt
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1PV.4.1.2.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=291;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/cb/6c/Infografia Descargable_M2_L1_R2.pdf;True;True;pdf
...;https://movil.colombiaaprende.edu.co/contenidos/material/digimente-estudiantes-actividades#main-content;s3://men-prod-clean-data/contenidos_formativos/APRENDER_DIGITAL_LIGERA_MOVIL/pages/_contenidos_material_digimente-estudiantes-actividades.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=191;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/69/a4/MEN_PTA_C8_AN01_Ver2.txt;True;False;txt
...;https://especiales.colombiaaprende.edu.co/tejiendosaberes/banco_recursos.html;s3://men-prod-clean-data/contenidos_formativos/EDUSITIO_TEJIENDO_SABERES/archivos/MEFC1PV.6.1.4.txt;True;True;txt
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=291;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/54/54/Guía preguntas2_M2_L1R2.pdf;True;True;pdf
(nan);https://campus.colombiaaprende.edu.co/course/view.php?id=185;s3://men-prod-clean-data/contenidos_formativos/CAMPUS VIRTUAL/filedir/74/ea/MEN_PTA_C5_ANEXO7_LABERINTO.pdf;True;True;pdf
